#   Z    N    A      Mode     Proc.
    1    0    1         0         u
    1    1    2         0         u
    2    1    3         0         u
    2    2    4         0         u
    3    3    6         0         x
    3    4    7         0         u
    4    5    9         0         x
    5    5   10         0         x
    5    6   11         0         x
    6    6   12         0         e
    6    7   13         0         e
    7    7   14         0         e
    7    8   15         0         e
    8    8   16         0         e
    8    9   17         0         e
    8   10   18         0         e
    9   10   19         0         e
   10   10   20         0         e
   10   11   21         0         e
   10   12   22         0         e
   11   12   23         0         e
   12   12   24         0         e
   12   13   25         0         e
   12   14   26         0         e
   13   14   27         0         e
   14   14   28         0         e
   14   15   29         0         e
   14   16   30         0         e
   15   16   31         0         e
   16   16   32         0         e
   16   17   33         0         b
   16   18   34         0         e
   16   20   36        -1         b
   17   18   35         0         b
   17   20   37         0         b
   18   18   36         0         b
   18   20   38         0         e
   18   22   40        -1         s
   19   20   39         0         b
   19   21   40         0         s
   19   22   41         0         b
   20   20   40         0         b
   20   22   42         0         b
   20   23   43         0         b
   20   24   44         0         b
   20   26   46         0         b
   20   28   48         0         e
   21   24   45         0         b
   22   24   46         0         b
   22   25   47         0         b
   22   26   48         0         b
   22   27   49         0         b
   22   28   50         0         e
   23   27   50         0         b
   23   28   51         0         b
   24   26   50         0         b
   24   28   52         0         b
   24   29   53         0         b
   24   30   54         0         e
   25   30   55         0         b
   26   28   54         1         b
   26   30   56         0         b
   26   31   57         0         e
   26   32   58         0         e
   27   32   59         0         e
   28   30   58         1         e
   28   32   60         0         e
   28   33   61         0         e
   28   34   62         0         e
   28   36   64         0         b
   29   34   63         0         b
   29   36   65         0         b
   30   34   64         0         b
   30   36   66         0         e
   30   37   67         0         e
   30   38   68         0         e
   30   40   70         0         e
   31   38   69         0         s
   31   40   71         0         s
   32   38   70         0         s
   32   40   72         0         s
   32   41   73         0         b
   32   42   74         0         b
   32   44   76        -1         b
   33   42   75         0         r
   34   40   74         1         p
   34   42   76         0         s
   34   43   77         0         r
   34   44   78         0         r
   34   46   80         0         r
   34   48   82        -1         r
   35   44   79         0         r
   35   46   81         0         r
