#    ti [s]            T9 [GK]           de [g/cc]         R [km]       
  0.0000000000e+00  7.0000000000e+00  7.4039096789e+07  3.9961970994e+07
  5.2226761684e-04  6.8711728086e+00  6.9852872160e+07  4.0744830457e+07
  1.3372646176e-03  6.6799636605e+00  6.3928450013e+07  4.1966480228e+07
  2.1909350484e-03  6.4915411491e+00  5.8419921333e+07  4.3246100012e+07
  3.0851140500e-03  6.3060599197e+00  5.3308124368e+07  4.4586440616e+07
  4.0217238446e-03  6.1236634717e+00  4.8573648212e+07  4.5990383378e+07
  5.0027778682e-03  5.9444838230e+00  4.4196983748e+07  4.7460946364e+07
  6.0303850988e-03  5.7686412567e+00  4.0158663437e+07  4.9001290852e+07
  7.1067545903e-03  5.5962441505e+00  3.6439389105e+07  5.0614728129e+07
  8.2342002209e-03  5.4273888862e+00  3.3020147084e+07  5.2304726614e+07
  9.4151456676e-03  5.2621598372e+00  2.9882310410e+07  5.4074919305e+07
  1.0652129616e-02  5.1006294315e+00  2.7007727948e+07  5.5929111597e+07
  1.1947811219e-02  4.9428582861e+00  2.4378800602e+07  5.7871289460e+07
  1.3304975812e-02  4.7888954082e+00  2.1978544923e+07  5.9905628005e+07
  1.4726540899e-02  4.6387784584e+00  1.9790644618e+07  6.2036500463e+07
  1.6215562427e-02  4.4925340716e+00  1.7799490589e+07  6.4268487584e+07
  1.7775241357e-02  4.3501782291e+00  1.5990210249e+07  6.6606387484e+07
  1.9408930539e-02  4.2117166765e+00  1.4348686956e+07  6.9055225962e+07
  2.1120141927e-02  4.0771453813e+00  1.2861570427e+07  7.1620267302e+07
  2.2912554120e-02  3.9464510254e+00  1.1516279074e+07  7.4307025588e+07
  2.4790020280e-02  3.8196115249e+00  1.0300995176e+07  7.7121276563e+07
  2.6756576408e-02  3.6965965731e+00  9.2046538178e+06  8.0069070039e+07
  2.8816450020e-02  3.5773681993e+00  8.2169264833e+06  8.3156742907e+07
  3.0974069242e-02  3.4618813396e+00  7.3282001706e+06  8.6390932756e+07
  3.3234072320e-02  3.3500844140e+00  6.5295528370e+06  8.9778592146e+07
  3.5601317598e-02  3.2419199037e+00  5.8127259292e+06  9.3327003548e+07
  3.8080893957e-02  3.1373249264e+00  5.1700946938e+06  9.7043795005e+07
  4.0678131759e-02  3.0362318025e+00  4.5946368973e+06  1.0093695653e+08
  4.3398614302e-02  2.9385686117e+00  4.0799005169e+06  1.0501485727e+08
  4.6248189824e-02  2.8442597327e+00  3.6199709016e+06  1.0928626352e+08
  4.9232984077e-02  2.7532263671e+00  3.2094378324e+06  1.1376035755e+08
  5.2359413491e-02  2.6653870408e+00  2.8433628547e+06  1.1844675734e+08
  5.5634198971e-02  2.5806580844e+00  2.5172471923e+06  1.2335553729e+08
  5.9064380345e-02  2.4989540872e+00  2.2270005011e+06  1.2849724981e+08
  6.2657331495e-02  2.4201883267e+00  1.9689106677e+06  1.3388294810e+08
  6.6420776211e-02  2.3442731695e+00  1.7396148172e+06  1.3952420981e+08
