#      time [s]          t9 [GK]          density [g/cc]
    2.7046557633e-10    2.0100000000e-01    1.1100000000e+06
    8.1139672899e-10    2.0100000000e-01    1.1100000000e+06
    1.8932590343e-09    2.0100000000e-01    1.1100000000e+06
    4.0569836450e-09    2.0100000000e-01    1.1100000000e+06
    8.3844328663e-09    2.0100000000e-01    1.1100000000e+06
    1.7039331309e-08    2.0100000000e-01    1.1100000000e+06
    3.4349128194e-08    2.0100000000e-01    1.1100000000e+06
    6.8968721965e-08    2.0100000000e-01    1.1100000000e+06
    1.3820790951e-07    2.0100000000e-01    1.1100000000e+06
    2.7668628459e-07    2.0100000000e-01    1.1100000000e+06
    5.5364303475e-07    2.0100000000e-01    1.1100000000e+06
    9.2438513401e-07    2.0100000000e-01    1.1100000000e+06
    1.2992962161e-06    2.0100000000e-01    1.1100000000e+06
    1.4356506370e-06    2.0100000000e-01    1.1100000000e+06
    1.5874248575e-06    2.0100000000e-01    1.1100000000e+06
    1.7565865560e-06    2.0100000000e-01    1.1100000000e+06
    1.9454098488e-06    2.0100000000e-01    1.1100000000e+06
    2.1565361526e-06    2.0100000000e-01    1.1100000000e+06
    2.3930515016e-06    2.0100000000e-01    1.1100000000e+06
    2.6585850445e-06    2.0100000000e-01    1.1100000000e+06
    2.9574360421e-06    2.0100000000e-01    1.1100000000e+06
    3.2947397770e-06    2.0100000000e-01    1.1100000000e+06
    3.6766874682e-06    2.0100000000e-01    1.1100000000e+06
    4.1108224901e-06    2.0100000000e-01    1.1100000000e+06
    4.6064465847e-06    2.0100000000e-01    1.1100000000e+06
    5.1751882141e-06    2.0100000000e-01    1.1100000000e+06
    5.8318160183e-06    2.0100000000e-01    1.1100000000e+06
    6.5954335408e-06    2.0100000000e-01    1.1100000000e+06
    7.4912867390e-06    2.0100000000e-01    1.1100000000e+06
    8.5361327007e-06    2.0100000000e-01    1.1100000000e+06
    9.5817979869e-06    2.0100000000e-01    1.1100000000e+06
    1.0628352237e-05    2.0100000000e-01    1.1100000000e+06
    1.1675865126e-05    2.0100000000e-01    1.1100000000e+06
    1.2724409714e-05    2.0100000000e-01    1.1100000000e+06
    1.3774062899e-05    2.0100000000e-01    1.1100000000e+06
    1.4824905873e-05    2.0100000000e-01    1.1100000000e+06
    1.5877024567e-05    2.0100000000e-01    1.1100000000e+06
    1.6930510110e-05    2.0100000000e-01    1.1100000000e+06
    1.7985459298e-05    2.0100000000e-01    1.1100000000e+06
    1.9041975085e-05    2.0100000000e-01    1.1100000000e+06
    2.0100167093e-05    2.0100000000e-01    1.1100000000e+06
    2.1160152151e-05    2.0100000000e-01    1.1100000000e+06
    2.2222054875e-05    2.0100000000e-01    1.1100000000e+06
    2.3286008269e-05    2.0100000000e-01    1.1100000000e+06
    2.4352154388e-05    2.0100000000e-01    1.1100000000e+06
    2.5420645030e-05    2.0100000000e-01    1.1100000000e+06
    2.6491642489e-05    2.0100000000e-01    1.1100000000e+06
    2.7565320369e-05    2.0100000000e-01    1.1100000000e+06
    2.9712676129e-05    2.0100000000e-01    1.1100000000e+06
    3.4007387649e-05    2.0100000000e-01    1.1100000000e+06
    4.2596810689e-05    2.0100000000e-01    1.1100000000e+06
    5.9775656769e-05    2.0100000000e-01    1.1100000000e+06
    9.4133348928e-05    2.0100000000e-01    1.1100000000e+06
    1.3785028674e-04    2.0100000000e-01    1.1100000000e+06
    1.8156318809e-04    2.0100000000e-01    1.1100000000e+06
    2.6898899079e-04    2.0100000000e-01    1.1100000000e+06
    3.8604268623e-04    2.0110000000e-01    1.1100000000e+06
    5.0308041832e-04    2.0110000000e-01    1.1100000000e+06
    6.2009604815e-04    2.0110000000e-01    1.1100000000e+06
    7.3709201240e-04    2.0110000000e-01    1.1100000000e+06
    8.5407059949e-04    2.0110000000e-01    1.1100000000e+06
    9.7103386969e-04    2.0110000000e-01    1.1100000000e+06
    1.0879836619e-03    2.0110000000e-01    1.1100000000e+06
    1.2049216180e-03    2.0110000000e-01    1.1100000000e+06
    1.3218492102e-03    2.0110000000e-01    1.1100000000e+06
    1.4619499621e-03    2.0110000000e-01    1.1100000000e+06
    1.6182507642e-03    2.0110000000e-01    1.1100000000e+06
    1.7929220512e-03    2.0110000000e-01    1.1100000000e+06
    1.9885028270e-03    2.0110000000e-01    1.1100000000e+06
    2.2079853353e-03    2.0110000000e-01    1.1100000000e+06
    2.4549256092e-03    2.0110000000e-01    1.1100000000e+06
