#    time [s]          t9 [GK]          density [g/cc]
  0.0000000000e+00  2.0000000000e-01  8.7290700000e+05
  8.4955700000e-06  2.0000000000e-01  8.7290700000e+05
  6.1097900000e-05  2.0000000000e-01  8.7290700000e+05
  3.8679800000e-04  2.0000000000e-01  8.7290700000e+05
  2.4034400000e-03  2.0000000000e-01  8.7290700000e+05
  1.4890000000e-02  2.0000100000e-01  8.7290400000e+05
  9.2203400000e-02  2.0000800000e-01  8.7290100000e+05
  5.7090800000e-01  2.0004900000e-01  8.7287300000e+05
  1.4431300000e+00  2.0014600000e-01  8.7281100000e+05
  2.3153500000e+00  2.0024300000e-01  8.7275300000e+05
  3.1875700000e+00  2.0033900000e-01  8.7269200000e+05
  4.0598000000e+00  2.0043600000e-01  8.7262700000e+05
  4.9320200000e+00  2.0053100000e-01  8.7256600000e+05
  5.8042400000e+00  2.0062700000e-01  8.7250800000e+05
  6.6764600000e+00  2.0072200000e-01  8.7244900000e+05
  7.5486900000e+00  2.0081700000e-01  8.7238800000e+05
  8.4209100000e+00  2.0091100000e-01  8.7232900000e+05
  9.2931300000e+00  2.0100600000e-01  8.7226800000e+05
  1.0165400000e+01  2.0110000000e-01  8.7221300000e+05
  1.1037600000e+01  2.0119300000e-01  8.7215100000e+05
  1.1909800000e+01  2.0128600000e-01  8.7209600000e+05
  1.2782000000e+01  2.0137900000e-01  8.7203400000e+05
  1.3654200000e+01  2.0147200000e-01  8.7197600000e+05
  1.4526500000e+01  2.0156400000e-01  8.7192100000e+05
  1.5398700000e+01  2.0165600000e-01  8.7185900000e+05
  1.6270900000e+01  2.0174800000e-01  8.7180400000e+05
  1.7143100000e+01  2.0183900000e-01  8.7174800000e+05
  1.8015400000e+01  2.0193000000e-01  8.7168700000e+05
  1.8887600000e+01  2.0202100000e-01  8.7163100000e+05
  1.9759800000e+01  2.0211100000e-01  8.7157600000e+05
  2.0632000000e+01  2.0220100000e-01  8.7151900000e+05
  2.1504200000e+01  2.0229100000e-01  8.7146400000e+05
  2.2376500000e+01  2.0238000000e-01  8.7140800000e+05
  2.3248700000e+01  2.0246900000e-01  8.7135300000e+05
