#         time [s]      timestep [s]  temperature [T9]  density [g/cm^3]
    9.45274535E-14    9.45274535E-14    2.00000000E-01    8.72907000E+05
    5.67164721E-13    4.72637268E-13    2.00000000E-01    8.72907000E+05
    2.93035106E-12    2.36318634E-12    2.00000000E-01    8.72907000E+05
    1.47462827E-11    1.18159317E-11    2.00000000E-01    8.72907000E+05
    7.38259412E-11    5.90796584E-11    2.00000000E-01    8.72907000E+05
    3.69224233E-10    2.95398292E-10    2.00000000E-01    8.72907000E+05
    1.84621569E-09    1.47699146E-09    2.00000000E-01    8.72907000E+05
    9.23117300E-09    7.38495731E-09    2.00000000E-01    8.72907000E+05
    4.61559595E-08    3.69247865E-08    2.00000000E-01    8.72907000E+05
    2.30779892E-07    1.84623933E-07    2.00000000E-01    8.72907000E+05
    1.15389956E-06    9.23119663E-07    2.00000000E-01    8.72907000E+05
    1.30023427E-06    1.46334719E-07    2.00000000E-01    8.72907000E+05
    1.46346652E-06    1.63232249E-07    2.00000000E-01    8.72907000E+05
    1.64583888E-06    1.82372353E-07    2.00000000E-01    8.72907000E+05
    1.84996433E-06    2.04125455E-07    2.00000000E-01    8.72907000E+05
    2.07890647E-06    2.28942140E-07    2.00000000E-01    8.72907000E+05
    2.33628224E-06    2.57375771E-07    2.00000000E-01    8.72907000E+05
    2.62639539E-06    2.90113150E-07    2.00000000E-01    8.72907000E+05
    2.95441215E-06    3.28016758E-07    2.00000000E-01    8.72907000E+05
    3.32659608E-06    3.72183926E-07    2.00000000E-01    8.72907000E+05
    3.75062741E-06    4.24031332E-07    2.00000000E-01    8.72907000E+05
    4.23604565E-06    4.85418241E-07    2.00000000E-01    8.72907000E+05
    4.79487624E-06    5.58830592E-07    2.00000000E-01    8.72907000E+05
    5.44253970E-06    6.47663463E-07    2.00000000E-01    8.72907000E+05
    6.19920771E-06    7.56668007E-07    2.00000000E-01    8.72907000E+05
    7.09189166E-06    8.92683950E-07    2.00000000E-01    8.72907000E+05
    8.04135463E-06    9.49462966E-07    2.00000000E-01    8.72907000E+05
    8.99156968E-06    9.50215053E-07    2.00000000E-01    8.72907000E+05
    9.94259727E-06    9.51027594E-07    2.00000000E-01    8.72907000E+05
    1.08945028E-05    9.51905531E-07    2.00000000E-01    8.72907000E+05
    1.18473570E-05    9.52854228E-07    2.00000000E-01    8.72907000E+05
    1.28012365E-05    9.53879499E-07    2.00000000E-01    8.72907000E+05
    1.37562242E-05    9.54987659E-07    2.00000000E-01    8.72907000E+05
    1.47124097E-05    9.56185559E-07    2.00000000E-01    8.72907000E+05
    1.56698904E-05    9.57480644E-07    2.00000000E-01    8.72907000E+05
    1.66287714E-05    9.58881005E-07    2.00000000E-01    8.72907000E+05
    1.75891668E-05    9.60395438E-07    2.00000000E-01    8.72907000E+05
    1.85512003E-05    9.62033513E-07    2.00000000E-01    8.72907000E+05
    1.95150060E-05    9.63805649E-07    2.00000000E-01    8.72907000E+05
    2.04807292E-05    9.65723195E-07    2.00000000E-01    8.72907000E+05
    2.14485277E-05    9.67798520E-07    2.00000000E-01    8.72907000E+05
    2.24185728E-05    9.70045121E-07    2.00000000E-01    8.72907000E+05
    2.33910506E-05    9.72477730E-07    2.00000000E-01    8.72907000E+05
    2.43661630E-05    9.75112445E-07    2.00000000E-01    8.72907000E+05
    2.92417252E-05    4.87556222E-06    2.00000000E-01    8.72907000E+05
    4.50437290E-05    1.58020038E-05    2.00000000E-01    8.72907000E+05
    6.35708629E-05    1.85271339E-05    2.00000000E-01    8.72907000E+05
    8.20979984E-05    1.85271355E-05    2.00000000E-01    8.72907000E+05
    1.23500934E-04    4.14029358E-05    2.00000000E-01    8.72907000E+05
    1.83059897E-04    5.95589632E-05    2.00000000E-01    8.72907000E+05
    2.52361038E-04    6.93011407E-05    2.00000000E-01    8.72907000E+05
    3.21667131E-04    6.93060929E-05    2.00000000E-01    8.72907000E+05
    6.68197595E-04    3.46530464E-04    2.00000000E-01    8.72907000E+05
    9.68448465E-04    3.00250869E-04    2.00000000E-01    8.72907000E+05
    1.16244043E-03    1.93991967E-04    2.00000000E-01    8.72907000E+05
    1.33453660E-03    1.72096167E-04    2.00000000E-01    8.72907000E+05
    1.49729935E-03    1.62762751E-04    2.00000000E-01    8.72907000E+05
    1.65531259E-03    1.58013240E-04    2.00000000E-01    8.72907000E+05
    1.81071369E-03    1.55401104E-04    2.00000000E-01    8.72907000E+05
    2.20610422E-03    3.95390521E-04    2.00000000E-01    8.72907000E+05
    2.89003365E-03    6.83929432E-04    2.00000039E-01    8.72906883E+05
    4.53457438E-03    1.64454073E-03    2.00000171E-01    8.72906488E+05
    4.98377726E-03    4.49202887E-04    2.00000207E-01    8.72906380E+05
    5.47878691E-03    4.95009651E-04    2.00000246E-01    8.72906261E+05
    6.02438732E-03    5.45600410E-04    2.00000290E-01    8.72906130E+05
    6.62588898E-03    6.01501656E-04    2.00000338E-01    8.72905986E+05
    7.28919329E-03    6.63304308E-04    2.00000391E-01    8.72905826E+05
    8.02086642E-03    7.31673136E-04    2.00000450E-01    8.72905650E+05
    8.82822435E-03    8.07357923E-04    2.00000515E-01    8.72905456E+05
    9.71943108E-03    8.91206733E-04    2.00000586E-01    8.72905242E+05
    1.07036129E-02    9.84181780E-04    2.00000665E-01    8.72905006E+05
    1.17909914E-02    1.08737852E-03    2.00000752E-01    8.72904745E+05
    1.29930401E-02    1.20204871E-03    2.00000848E-01    8.72904456E+05
    1.43226686E-02    1.32962852E-03    2.00000955E-01    8.72904136E+05
    1.57944415E-02    1.47177286E-03    2.00001082E-01    8.72903965E+05
    1.74214005E-02    1.62695899E-03    2.00001229E-01    8.72903902E+05
    1.90658524E-02    1.64445193E-03    2.00001378E-01    8.72903838E+05
    2.07102924E-02    1.64443997E-03    2.00001527E-01    8.72903774E+05
    2.28808893E-02    2.17059694E-03    2.00001723E-01    8.72903690E+05
    2.52950942E-02    2.41420495E-03    2.00001942E-01    8.72903596E+05
    2.74565391E-02    2.16144483E-03    2.00002138E-01    8.72903512E+05
    2.98531022E-02    2.39656317E-03    2.00002355E-01    8.72903419E+05
    3.25168178E-02    2.66371555E-03    2.00002596E-01    8.72903316E+05
    3.54850879E-02    2.96827011E-03    2.00002865E-01    8.72903201E+05
    3.88019073E-02    3.31681941E-03    2.00003165E-01    8.72903072E+05
    4.25194760E-02    3.71756874E-03    2.00003502E-01    8.72902928E+05
    4.67003543E-02    4.18087824E-03    2.00003880E-01    8.72902766E+05
    5.14203876E-02    4.72003326E-03    2.00004307E-01    8.72902583E+05
    5.67727529E-02    5.35236532E-03    2.00004792E-01    8.72902375E+05
    6.28736834E-02    6.10093056E-03    2.00005344E-01    8.72902138E+05
    6.98707922E-02    6.99710880E-03    2.00005978E-01    8.72901867E+05
    7.79555817E-02    8.08478950E-03    2.00006710E-01    8.72901553E+05
    8.73830111E-02    9.42742940E-03    2.00007564E-01    8.72901187E+05
    9.85036311E-02    1.11206199E-02    2.00008540E-01    8.72900631E+05
    1.11819686E-01    1.33160554E-02    2.00009680E-01    8.72899853E+05
    1.26330445E-01    1.45107586E-02    2.00010923E-01    8.72899004E+05
    1.42487453E-01    1.61570080E-02    2.00012306E-01    8.72898059E+05
    1.51267277E-01    8.77982376E-03    2.00013058E-01    8.72897545E+05
    1.60659179E-01    9.39190225E-03    2.00013863E-01    8.72896996E+05
    1.70720415E-01    1.00612355E-02    2.00014724E-01    8.72896407E+05
    1.81515325E-01    1.07949102E-02    2.00015649E-01    8.72895776E+05
    1.93116495E-01    1.16011707E-02    2.00016642E-01    8.72895097E+05
    2.05606148E-01    1.24896529E-02    2.00017712E-01    8.72894367E+05
    2.19077822E-01    1.34716737E-02    2.00018866E-01    8.72893579E+05
    2.33638416E-01    1.45605943E-02    2.00020113E-01    8.72892727E+05
    2.49410694E-01    1.57722782E-02    2.00021464E-01    8.72891805E+05
    2.65546402E-01    1.61357073E-02    2.00022845E-01    8.72890861E+05
    2.81682976E-01    1.61365746E-02    2.00024228E-01    8.72889917E+05
    2.97820772E-01    1.61377951E-02    2.00025610E-01    8.72888973E+05
    3.13960169E-01    1.61393970E-02    2.00026992E-01    8.72888029E+05
    3.30101589E-01    1.61414207E-02    2.00028374E-01    8.72887085E+05
    3.46245506E-01    1.61439165E-02    2.00029757E-01    8.72886141E+05
    3.62392449E-01    1.61469436E-02    2.00031140E-01    8.72885196E+05
    3.78543020E-01    1.61505703E-02    2.00032523E-01    8.72884252E+05
    3.94697894E-01    1.61548742E-02    2.00033907E-01    8.72883307E+05
    4.10857837E-01    1.61599429E-02    2.00035291E-01    8.72882361E+05
    4.27023712E-01    1.61658751E-02    2.00036676E-01    8.72881416E+05
    4.43196494E-01    1.61727823E-02    2.00038061E-01    8.72880470E+05
    4.59377284E-01    1.61807894E-02    2.00039447E-01    8.72879523E+05
    4.75567321E-01    1.61900374E-02    2.00040834E-01    8.72878577E+05
    4.91768006E-01    1.62006848E-02    2.00042221E-01    8.72877629E+05
    5.07980916E-01    1.62129099E-02    2.00043610E-01    8.72876681E+05
    5.24207829E-01    1.62269134E-02    2.00045000E-01    8.72875732E+05
    5.40450751E-01    1.62429215E-02    2.00046391E-01    8.72874781E+05
    5.56711940E-01    1.62611891E-02    2.00047784E-01    8.72873830E+05
    5.72993943E-01    1.62820036E-02    2.00049232E-01    8.72872852E+05
