#         time [s]      timestep [s]  temperature [T9]  density [g/cm^3]
    2.70531565E-10    6.59889568E-14    2.01000000E-01    1.11000000E+06
    2.70861510E-10    3.29944784E-13    2.01000000E-01    1.11000000E+06
    2.72511234E-10    1.64972392E-12    2.01000000E-01    1.11000000E+06
    2.80759854E-10    8.24861959E-12    2.01000000E-01    1.11000000E+06
    3.22002952E-10    4.12430980E-11    2.01000000E-01    1.11000000E+06
    5.28218441E-10    2.06215490E-10    2.01000000E-01    1.11000000E+06
    1.55929589E-09    1.03107745E-09    2.01000000E-01    1.11000000E+06
    6.71468314E-09    5.15538725E-09    2.01000000E-01    1.11000000E+06
    3.24916194E-08    2.57769362E-08    2.01000000E-01    1.11000000E+06
    1.61376301E-07    1.28884681E-07    2.01000000E-01    1.11000000E+06
    8.05799706E-07    6.44423406E-07    2.01000000E-01    1.11000000E+06
    9.07953097E-07    1.02153391E-07    2.01000000E-01    1.11000000E+06
    1.02190228E-06    1.13949186E-07    2.01000000E-01    1.11000000E+06
    1.14921274E-06    1.27310460E-07    2.01000000E-01    1.11000000E+06
    1.29170854E-06    1.42495794E-07    2.01000000E-01    1.11000000E+06
    1.45152826E-06    1.59819723E-07    2.01000000E-01    1.11000000E+06
    1.63119678E-06    1.79668523E-07    2.01000000E-01    1.11000000E+06
    1.83371840E-06    2.02521620E-07    2.01000000E-01    1.11000000E+06
    2.06269947E-06    2.28981066E-07    2.01000000E-01    1.11000000E+06
    2.32251231E-06    2.59812842E-07    2.01000000E-01    1.11000000E+06
    2.61851815E-06    2.96005838E-07    2.01000000E-01    1.11000000E+06
    2.95737602E-06    3.38857870E-07    2.01000000E-01    1.11000000E+06
    3.34748018E-06    3.90104160E-07    2.01000000E-01    1.11000000E+06
    3.79959467E-06    4.52114486E-07    2.01000000E-01    1.11000000E+06
    4.32779976E-06    5.28205094E-07    2.01000000E-01    1.11000000E+06
    4.95094965E-06    6.23149893E-07    2.01000000E-01    1.11000000E+06
    5.61380140E-06    6.62851748E-07    2.01000000E-01    1.11000000E+06
    6.27718465E-06    6.63383245E-07    2.01000000E-01    1.11000000E+06
    6.94114200E-06    6.63957355E-07    2.01000000E-01    1.11000000E+06
    7.60571955E-06    6.64577554E-07    2.01000000E-01    1.11000000E+06
    8.27096717E-06    6.65247613E-07    2.01000000E-01    1.11000000E+06
    8.93693879E-06    6.65971619E-07    2.01000000E-01    1.11000000E+06
    9.60369280E-06    6.66754011E-07    2.01000000E-01    1.11000000E+06
    1.02712924E-05    6.67599603E-07    2.01000000E-01    1.11000000E+06
    1.09398060E-05    6.68513627E-07    2.01000000E-01    1.11000000E+06
    1.16093078E-05    6.69501766E-07    2.01000000E-01    1.11000000E+06
    1.22798780E-05    6.70570199E-07    2.01000000E-01    1.11000000E+06
    1.29516036E-05    6.71725648E-07    2.01000000E-01    1.11000000E+06
    1.36245791E-05    6.72975427E-07    2.01000000E-01    1.11000000E+06
    1.42989066E-05    6.74327505E-07    2.01000000E-01    1.11000000E+06
    1.49746971E-05    6.75790566E-07    2.01000000E-01    1.11000000E+06
    1.56520712E-05    6.77374082E-07    2.01000000E-01    1.11000000E+06
    1.63311596E-05    6.79088391E-07    2.01000000E-01    1.11000000E+06
    1.70121044E-05    6.80944788E-07    2.01000000E-01    1.11000000E+06
    2.04168283E-05    3.40472394E-06    2.01000000E-01    1.11000000E+06
    3.14481011E-05    1.10312727E-05    2.01000000E-01    1.11000000E+06
    4.40402933E-05    1.25921922E-05    2.01000000E-01    1.11000000E+06
    5.66324866E-05    1.25921933E-05    2.01000000E-01    1.11000000E+06
    8.50016806E-05    2.83691940E-05    2.01000000E-01    1.11000000E+06
    1.25856876E-04    4.08551957E-05    2.01000000E-01    1.11000000E+06
    1.72996075E-04    4.71391982E-05    2.01000000E-01    1.11000000E+06
    3.07777797E-04    1.34781723E-04    2.01033132E-01    1.11000000E+06
    9.81686411E-04    6.73908614E-04    2.01100000E-01    1.11000000E+06
    1.11316750E-03    1.31481087E-04    2.01100000E-01    1.11000000E+06
    1.23062822E-03    1.17460726E-04    2.01100000E-01    1.11000000E+06
    1.34204604E-03    1.11417818E-04    2.01100000E-01    1.11000000E+06
    1.58028077E-03    2.38234727E-04    2.01100000E-01    1.11000000E+06
    1.96552865E-03    3.85247883E-04    2.01100000E-01    1.11000000E+06
    2.77715743E-03    8.11628780E-04    2.01100000E-01    1.11000000E+06
    3.05115112E-03    2.73993686E-04    2.01100000E-01    1.11000000E+06
    3.35300101E-03    3.01849890E-04    2.01100000E-01    1.11000000E+06
    3.68559670E-03    3.32595691E-04    2.01100000E-01    1.11000000E+06
    4.05214110E-03    3.66544401E-04    2.01100000E-01    1.11000000E+06
    4.45618768E-03    4.04046580E-04    2.01100000E-01    1.11000000E+06
    4.90168291E-03    4.45495230E-04    2.01100000E-01    1.11000000E+06
    5.39301482E-03    4.91331908E-04    2.01100000E-01    1.11000000E+06
    5.93506875E-03    5.42053934E-04    2.01100000E-01    1.11000000E+06
    6.53329169E-03    5.98222941E-04    2.01100000E-01    1.11000000E+06
    7.19376677E-03    6.60475074E-04    2.01100000E-01    1.11000000E+06
    7.92329997E-03    7.29533205E-04    2.01100000E-01    1.11000000E+06
